GitCommitMessage	IsUseful	MatchedOnKeyword
2.0.0-rc.0	False	
sponsors: sync readme with website	True	
8.2.0	False	
sponsors: sync readme with website	True	
1.4.1	False	
sponsors: sync readme with website	True	
sponsors: sync readme with website	True	
new: no-continue rule (fixes #1945)	False	
chore: update github actions (#12984)	False	
sponsors: sync readme with website	True	
upgrade: devdependencies (#8303)	False	
rule: no assignment in return statement	False	
add travis ci hookup	False	
docs: update broken link (#7490)	False	
8.12.0	False	
build: changelog update for 4.7.2	True	
build: remove flaky perf test from travis	False	
add try-catch scoping with tests	False	
build: changelog update for 7.11.0	True	
7.23.0	False	
docs: typo, add missing quotation mark	False	
update: fix indentation of comment	False	
migrate variables array to map	True	
ensure estraverse version 1.2.0 or later	False	
5.0.0-alpha.2	False	
rule: do not use 'new' for side effects	True	
upgrade: debug@4 (fixes #10854) (#10887)	False	
docs: add chatroom to faq	True	
chore: cleanup issue templates (#15039)	False	
3.17.0	False	
7.2.0	False	
sponsors: sync readme with website	True	
sponsors: sync readme with website	True	
new: add config validator (refs #2179)	True	
docs: remove references to esprima	True	
update: support numeric separators (refs #13568) (#13581)* update astutils.isdecimalinteger and astutils.isdecimalintegernumerictoken* add tests and comment for prefer-numeric-literals* add tests for quote-props	True	
sponsors: sync readme with website	True	
docs: fix example for sort-imports ignoredeclarationsort (#11242)	True	
fix: keyword "else" must not be followed by a newline (fixes #3226)	False	
docs: add deprecated note to `working-with-rules-deprecated` page (#14344)	True	
build: add ???chore??? to commit tags (fixes #5880) (#5929)	True	
docs: fix no-restricted-globals wrong config. (#9305)	False	
docs: added double quotes for json keys for comma-spacing and key-spacing rule	True	
update: `allownamedfunctions` in `prefer-arrow-callback` (fixes #5675)	False	
update: rename id-blacklist to id-denylist (fixes #13407) (#13408)* update: rename id-blacklist to id-denylist (fixes #13407)* update index.js	True	
update: add --fix to no-debugger (#8660)	True	
docs: fix outdated description of `baseconfig` option (#10657)the documentation for `baseconfig` implied the existence of a "default" configuration for normal linting runs, because the documentation hadn't been updated since we stopped enabling rules by default.	True	
docs: document default for operator assignment (fixes #4835)	True	
update: pass file path to parse function (fixes #5344) (#7024)	True	
fix: corrects configs merging into base config (fixes #838)	True	
breaking: correct links between variables and references (fixes #4615)	False	
docs: corrected class extension example (#12176)	False	
chore: enable array-bracket-spacing on eslint codebase (#7830)there were about 900 existing violations with the `never` option, and about 20000 existing violations with the `always` option enabled, so i used the default `never` option.the changes were all made using eslint's autofixer.	True	
fix: windows path parsing for junit (fixes #12507) (#12509)* fix: windows path parsing for junit (fixes #12507)this commit aims to fix the issues described in #12507 by removing theassumption that posix style filepaths are supplied by messages.the tests for this are also updated to run on both windows and posixbased systems. the results can be seen by running eslint with the junitformatter on a windows system.full details can be seen in the issue mentioned above.* fix: use const instead of functionaddresses some comments.	True	
upgrade: inquirer (fixes #5265)	False	
updating no-undef patch (see pull request #164)* simplify parseboolean()* make knowledge of```/*jshint*/``` and ```/*global */``` internal to eslint object* put user-declared globals in program scope	True	
update: return to accept `undefined` type (fixes #3382)	True	
upgrade: doctrine to 0.5.2	True	
2.1.0	False	
fix: no-var fixed to incorrect code (fixes #11441) (#11443)	True	
fix: yoda treats negative numbers as literals (fixes #1571)negative numbers like `-1` are represented in the ast as anumeric `literal` node with positive one as the value, wrapped ina `unaryexpression` node with `-` as the prefix operator to negatethe literal. this pr treats both positive and negative numbers asnormal literals.because the range test exception validates ranges to ensure thatthe left end of the range <= the right end of the range, it wasnecessary to combine the negating wrapper and literal into asingle negative literal node rather than simply checking for thepresence of the negating wrapper so that the actual negative valueis available.this brings test coverage of `lib/rules/yoda.js` back up to 100%.it also fixes a spelling error in the docs pointed out by @ljharb.	True	
sponsors: sync readme with website	True	
update: allow empty arrow body (fixes #4411)	False	
docs: fixing typos (refs #5446)(#6494)these typos were picked up in earlier pr but due to me making a mess ofgithub i've had to put them in a separate pr. see #6453 for original pr.	True	
build: fix bundling script (fixes #5680)	False	
docs: add tsc meeting quorum requirement (#8086)adding a note about tsc meetings requiring a quorum of more than half of the tsc being present at meetings in order to vote on any agenda items.	True	
fix: env-specified ecmafeatures had been wrong (fixes #3735)env-specified globals and ecmafeatures had been handled after allhierarchy configs merged. so it could not overwrite the parent configwith child's env-specified configs correctly.this commit moves the process for env-specified config to the loadconfigfunction. as the result, it can handle child's env-specified configs inthe regular overwriting process.	True	
add support for pre-defined environment globals (re: #228)	True	
sponsors: sync readme with website	True	
fix: line number for duplicate object keys error (fixes #3573)	True	
upgrade: espree to 0.12.3 (fixes #2195)	True	
docs: remove tdz scope from the scope manager interface documentation (#12054)	False	
fix: eqeqeq rule reports incorrect locations (#12265)	False	
1.10.1	False	
added further instructions for multiline test cases.	True	
docs: add more info to migration guide (fixes #3439)	True	
fix: display pipe character correctly in test output (#12771)	False	
added .eslintignore to load from parents folders (fixes #681)	True	
fix: `indent` rule does not indent when doing multi-line chain calls (fixes #3279)	False	
docs: add meteor to avaiable environments list	True	
clarify issue requirement for doc pull requests	True	
update: enforceforsequenceexpressions to no-extra-parens (fixes #11916) (#12142)	True	
7.9.0	False	
0.13.0	False	
fix: camelcase false positive with computed property (fixes #13022) (#13023)	False	
chore: delete duplicated test. (#8527)	False	
split eslint.define into eslint.definerule and eslint.definerules	True	
fixes #454: escape values for xml in checkstyle formatter	True	
chore: remove dead code from prefer-const (#8683)this code was added to work around a bug in acorn (https://github.com/ternjs/acorn/issues/487), which has since been fixed.	True	
build: changelog update for 8.0.0-beta.0	True	
docs: reorganized to avoid misunderstandings. (#9434)original headings made it seem that sections after step 5 could be additional steps. and summary of workflowwithout a link to the full workflow could make a reader think that the summary is the whole workflow.	True	
fix: catch self-assignment operators in `no-magic-number` (fixes #4400)	True	
rule to detect constructors that don't begin with capital letters (fixes #4)	True	
docs: clean up getting started guide (#12544)	False	
new: allow other file extensions (fixes #801)	False	
docs: clarify `eslint:recommended` semver policy (#12429)	False	
3.7.0	False	
docs: clarify rule details for no-template-curly-in-string (#6900)	True	
upgrade: handlebars to >= 4.0.5 for security reasons (fixes #4642)nsp has a reported security vulnerability with old versions of uglify, which is used by handlebars < 4.0.5.https://nodesecurity.io/advisories/48this update changes eslint's minimum handlebars version up from 4.0.0 to 4.0.5.	True	
sponsors: sync readme with website	True	
fix: ignoring empty comments. (fixes #1488)	False	
chore: remove cla check from bot	False	
docs: update docs/rules/no-plusplus.mdfix minor grammatical issue - use correct "its" instead of "it's".	False	
fix: correctly consume ruletester statics (#15507)	False	
6.1.0	False	
docs: fix anchor in 'docs/developer-guide/working-with-rules.md' (#14332)fixes the `getsourcecode()` anchor ref.	True	
breaking: remove tdz scopes (fixes #10245) (#10270)* breaking: remove tdz scopes (fixes #10245)* switch to v4.0.0-alpha.0	True	
chore: upgrade deps (#10339)	False	
fix: do not fail on nested unknown operators (#10561)	True	
docs: add soda0289 to development team (#8367)	True	
docs: improve sort-keys (#12791)* docs: improve sort-keys wording* docs: diff sort-keys??? to help sell the feature	True	
update: overrides for space-unary-ops (fixes #5060)	True	
new: add rule default-param-last (fixes #11361) (#12188)* new: add rule default-param-last (fixes #11361)* chore: fix typos* chore: add test cases* apply suggestion: add column for a test case* update: change error message* docs: add example in opening section* add test cases about parameter destructuring	True	
2.13.1	False	
update: return type error in `valid-jsdoc` rule (fixes #4443)	False	
chore: improve comment explanation of `indent` internal functions (#8800)	False	
docs: replace link to deprecated rule with newer ruleno-space-before-semi is deprecated and replaced with semi-spacing, so link to that instead.	True	
feat: normalize ecmaversion to eslint-scope when using custom parser (#15268)* feat: normalize ecmaversion to eslint-scope when using custom parser* test: add testcase	True	
docs: move gitter badge	False	
fix: no-invalid-meta crashes for non object values (fixes #10750) (#10753)	True	
breaking: convert cliengine to es6 class (refs #8231) (#8262)this converts cliengine to an es6 class. this will not break clients that were using cliengine as documented, but it could break clients that are relying on undocumented behavior in cliengine (e.g. enumerable methods).	True	
upgrade: eslint-tester to 0.7.0	True	
fix: block-scoped-var to work with classes (fixes #2280)	True	
chore: adding debug logs on successful plugin loads (#10100)* chore: adding debug logs on successful plugin loads* chore: adding resolved plugin path to debug logging	True	
sponsors: sync readme with website	True	
re-add lines that were accidentally deleted from config	False	
fixing no use before define issues	True	
