GitCommitMessage	IsUseful	MatchedOnKeyword
use `const`	False	
format code	True	
wip	False	
avoid insecure nodeintegration in example	False	
doc fix	False	
update node to fix building on windows	True	
use loadiconmetric to load correct icon	True	
build: [gn] node as a static lib	False	
store webviewinfo as web contents userdata	True	
fix typo	False	
make chrome instructions a list item	False	
:art:	False	
address @jkleinsc's 2018-03-21 comments	False	
explicity use precise for travis ci	True	
fix docs typo	False	
don't discard tasks in bridgetaskrunner	False	
use object for options	True	
updates from inline comments	False	
fix crash when creating protocol module	True	
fixes offscreen rendering issues	False	
use selected dialog path as item save path	False	
link with pdf.dll	False	
update code_of_conduct.md	False	
persist zoom levels per partition	False	
win: copy necessary shared libraries	False	
add support for --ignore-certificate-errors	True	
fill net::urlrequest details on io thread	False	
bump v12.0.0-nightly.20201105	False	
use scoped policy for micro tasks	True	
update ko docs	False	
update browser-window.md	False	
i don't think we need this	False	
don't make idweakmap public api	False	
allow setting loglevel	False	
value should be true on non-macos platforms	True	
don't use auto to static variables.	True	
use require('electron') in electron's code	False	
use _wgetenv to get windows env variables	True	
chore: fix typos (#32985)	False	
implement protocol.registerbufferprotocol	True	
fix: emit swipe event on macos (#19319)	False	
bump v9.0.0-nightly.20200129	False	
bump v8.0.0-nightly.20191031	False	
don't upload arm version of mksnapshot too	True	
refactor: s/resolvergetters/resolvegetters	True	
:memo: about the plist changes.	False	
make --debug-brk work.	False	
bump v10.0.0-nightly.20200212	False	
gtk: enabling setting menubar for window.	True	
update deprecation warning	False	
fix: build error caused by extra ] (#30015)	True	
bump v0.28.2	False	
upgrade brightray	False	
add menu item role defaults	False	
initial empty api_web_contents.	False	
