GitCommitMessage	IsUseful	MatchedOnKeyword
formatted	True	
fix hound	False	
update readme.md	False	
fix: default environments now working with codeship build	False	
fix: separate creation of pull request and adding labelsthis allows for more clear error messages when something goes wrongwith adding the labels, since the pr has been successfully created.fixes #5759signed-off-by: andrew bayer <andrew.bayer@gmail.com>	True	
fix: make sure that the right source directory is passed to docs generation (#3875)- determine the directory for kubernetes-incubator/reference-docs within the go modules path- make sure code generation tools are cleaned prior to `make generate` to avoid wrong tooling versionsfixes issue #3871signed-off-by: hardy ferentschik <hardy@ferentschik.de>	True	
feat: add `jx step env apply` to bootstrap an environment from gitops	True	
feat:(changelog) generate markdown changeloglets update the github/gitea release on generating change log from git ref 70b5e3df77b3dfa965404affa751138d282e54e4 => 9b67c700762da636856083089ecca07d3be448c3generated: templates/release.yamlgenerated changelog:## changes### pull requests* [#311](https://github.com/jenkins-x/jx/pull/311) example pipeline and install improvements ([rawlingsj](https://github.com/rawlingsj))fixes #313	False	
chore: fix hound warnings	False	
chore: improvements to the codethanks @ccojocar for the review!	True	
chore(deps): bump https://github.com/jenkins-x/jx-gitops from 0.0.168 to 0.0.170command run was `jx step create pr regex --regex \s+gitopsversion = "(?p<version>.*)" --version 0.0.170 --files pkg/plugins/versions.go --repo https://github.com/jenkins-x/jx-cli.git`	True	
fix: lets allow filtering with `jx shell`	False	
fix(boot): try to update local boot clone to config ref from versionsthis will check if the boot clone isn't using the ref the desired tagpoints to, after cloning the boot config if needed. if the clone isusing a different ref, it will try to stash any local changes, updatethe clone to use the appropriate ref, and unstash those localchanges. if there are errors in the unstash due to conflicts, it'llreport the `git stash pop` error message and tell the user what theyneed to do to fix it.fixes #5929signed-off-by: andrew bayer <andrew.bayer@gmail.com>	True	
chore: remove create lile commandthe `jx create lile` command was deprecated, it's due date to be removedfrom our codebase was feb 2020. therefore we've removed it now.fixes #6945	True	
fix: move httpcloneurl to a standalone functionsigned-off-by: andrew bayer <andrew.bayer@gmail.com>	True	
fix: add build number when displaying pipelinesresolves: https://github.com/jenkins-x/jx/issues/5626prior to this commit, when a user ran `jx stop pipeline`, we'd displaythe pipelines that could be stopped without the build number. thiscommit adds the build number so it's easy to see which build would bestopped when a user stops a pipeline.	True	
chore: typo fix in function docs for shouldforkforpullrequest	True	
fix: only setting apis if service account has been provided	False	
initialise new jenkins x draft pack repo	False	
pipeline should set git env vars when running jx promote, also run in batch mode	True	
chore: fix houndsigned-off-by: james strachan <james.strachan@gmail.com>	False	
fix preview author	False	
chore: add extra verbose logging to diagnose cloudshell issue	True	
chore(deps): bump https://github.com/jenkins-x/jx-gitops from 0.0.84 to 0.0.86command run was `jx step create pr regex --regex \s+gitopsversion = "(?p<version>.*)" --version 0.0.86 --files pkg/plugins/versions.go --repo https://github.com/jenkins-x/jx-cli.git`	True	
chore(deps): upgrade jenkins-x/jx to version 0.0.38from: https://github.com/jenkins-x-plugins/jx-application.git	True	
chore(deps): upgrade jenkins-x/jx to version 0.0.77from: https://github.com/jenkins-x-plugins/jx-verify.git	True	
fix:(vault) expose the vault	False	
feat:(vault) add skeleton command for create vault command	True	
chore(deps): bump https://github.com/jenkins-x/jx-pipeline to 0.0.2command run was `jx step create pr regex --regex \s+verifyversion = "(?p<version>.*)" --version 0.0.2 --files pkg/plugins/versions.go --repo https://github.com/jenkins-x/jx-cli.git`	True	
