Reference,GitCommitMessage,Response
0,"build(docs-infra): move to circleci v2 api for aio-builds (#45349)
Move to the CircleCI v2 api as the authentication fails for downloading artifacts using the v1 methods.
CircleCI v2 api now requires authentication to occur view the headers instead of being done in a
query parameter, all of the CircleCI interactions are now performed through one fetchFromCircleCi method
which ensures the token is provided in the headers as expected.
PR Close #45349",Yes.
1,"fix(animations): apply default params when resolved value is null or undefined (#45339)
The animations package supports adding default parameter values to an animation that will be used as a fallback if some parameters aren't defined. The problem is that they're applied using a spread expression which means that any own property of the animation parameters will override the defaults, even if it resolves to null or undefined. This can lead to obscure errors like ""Cannot read property toString of undefined"" for an animation that looks like `{params: {foo: undefined}}` with defaults `{foo: 123}`.
I ran into this issue while debugging some test failures on Material.
These changes address the issue by:
1. Applying the defaults if the resolved value is null or undefined.
2. Updating the validation function to use a null check instead of `hasOwnProperty`.
PR Close #45339",Yes.
2,"docs: add how to access the resolved data (#45345)
complete resolver example and add how to access the resolved data in component
resolves angular#45313
PR Close #45345",Yes, the reason for the change is that it completes a resolver example and adds how to access resolved data in a component.
3,"build: lock file maintenance (#45341)
PR Close #45341",No
4,"release: cut the v14.0.0-next.7 release (#45368)
",No
5,"docs: release notes for the v13.3.0 release (#45366)
",No
6,"docs: release notes for the v13.2.7 release (#45364)
",No
7,"build: update github/codeql-action action to v1.1.5 (#45358)
PR Close #45358",No
8,"docs: add ngx-gantt to ""EXPLORE ANGULAR RESOURCES"" page (#45351)
PR Close #45351",No
9,"fix(forms): improve error message for invalid value accessors (#45192)
improve error message for invalid value accessors when accessor is not provided as array
PR Close #45192",No
10,"fix(docs-infra): fix tour of heroes global styles (#45329)
fix button styles in src/styles.css that are missing from code snippets
PR Close #45329",Yes, there is a reason in the text for the described change.
11,"docs: fix small English typo (#45340)
PR Close #45340",No
12,"docs: Fix typo in issue template (#45327)
PR Close #45327",No
13,"build(bazel): add bazel build and test targets for aio build (#45022)
First step towards a migration of aio to bazel. Not yet built by ci.
PR Close #45022",No
14,"build: update dependency eslint-plugin-jsdoc to v38 (#45332)
PR Close #45332",No
15,"build(docs-infra): upgrade cli command docs sources to a517160a2 (#45225)
Updating [angular#master](https://github.com/angular/angular/tree/master) from [cli-builds#master](https://github.com/angular/cli-builds/tree/master).
PR Close #45225",No
16,"feat(docs-infra): remove hidden commands processor (#45225)
Hidden commands are no longer included in help JSON output.
PR Close #45225",Yes, the reason for the change is given in the text.
17,"feat(docs-infra): update CLI templates to match changes with new parser and folder structure (#45225)
The underlying parser that the CLI uses changed which caused minor changes in the generated JSON helps especially for subcommands.
The folder structure of the Angular CLI repo also changed slightly.
More context: https://github.com/angular/angular-cli/pull/22778
PR Close #45225",Yes.
