GitCommitMessage,Response
"build(docs-infra): move to circleci v2 api for aio-builds (#45349)
Move to the CircleCI v2 api as the authentication fails for downloading artifacts using the v1 methods.
CircleCI v2 api now requires authentication to occur view the headers instead of being done in a
query parameter, all of the CircleCI interactions are now performed through one fetchFromCircleCi method
which ensures the token is provided in the headers as expected.
PR Close #45349",Yes
"fix(animations): apply default params when resolved value is null or undefined (#45339)
The animations package supports adding default parameter values to an animation that will be used as a fallback if some parameters aren't defined. The problem is that they're applied using a spread expression which means that any own property of the animation parameters will override the defaults, even if it resolves to null or undefined. This can lead to obscure errors like ""Cannot read property toString of undefined"" for an animation that looks like `{params: {foo: undefined}}` with defaults `{foo: 123}`.
I ran into this issue while debugging some test failures on Material.
These changes address the issue by:
1. Applying the defaults if the resolved value is null or undefined.
2. Updating the validation function to use a null check instead of `hasOwnProperty`.
PR Close #45339",Yes.
"docs: add how to access the resolved data (#45345)
complete resolver example and add how to access the resolved data in component
resolves angular#45313
PR Close #45345",No
"build: lock file maintenance (#45341)
PR Close #45341",No
"release: cut the v14.0.0-next.7 release (#45368)
",No
"docs: release notes for the v13.3.0 release (#45366)
",No
"docs: release notes for the v13.2.7 release (#45364)
",No
"build: update github/codeql-action action to v1.1.5 (#45358)
PR Close #45358",No
"docs: add ngx-gantt to ""EXPLORE ANGULAR RESOURCES"" page (#45351)
PR Close #45351",No
"fix(forms): improve error message for invalid value accessors (#45192)
improve error message for invalid value accessors when accessor is not provided as array
PR Close #45192",No
"fix(docs-infra): fix tour of heroes global styles (#45329)
fix button styles in src/styles.css that are missing from code snippets
PR Close #45329",Yes
"docs: fix small English typo (#45340)
PR Close #45340",No
"docs: Fix typo in issue template (#45327)
PR Close #45327",No
"build(bazel): add bazel build and test targets for aio build (#45022)
First step towards a migration of aio to bazel. Not yet built by ci.
PR Close #45022",No
"build: update dependency eslint-plugin-jsdoc to v38 (#45332)
PR Close #45332",No
"build(docs-infra): upgrade cli command docs sources to a517160a2 (#45225)
Updating [angular#master](https://github.com/angular/angular/tree/master) from [cli-builds#master](https://github.com/angular/cli-builds/tree/master).
PR Close #45225",No
"feat(docs-infra): remove hidden commands processor (#45225)
Hidden commands are no longer included in help JSON output.
PR Close #45225",No
"feat(docs-infra): update CLI templates to match changes with new parser and folder structure (#45225)
The underlying parser that the CLI uses changed which caused minor changes in the generated JSON helps especially for subcommands.
The folder structure of the Angular CLI repo also changed slightly.
More context: https://github.com/angular/angular-cli/pull/22778
PR Close #45225",Yes
"refactor(core): Switch over to new closure LOCALE vs getLocale() (#45302)
This is a change requested via an LSC due to a deprecation.
PR Close #45302",Yes
"docs: add manual changelog edits from `13.3.x` to main branch (#45323)
Adds the manual changelog edits from the `13.3.x` branch to the
main branch (where users primarily will look at).
PR Close #45323",No
"docs: release notes for the v13.3.0-rc.0 release (#45322)
",No
"refactor(router): Make a few adjustments to createUrlTree for clarity (#45306)
* `tree` function now accepts the old root rather than the old
`UrlTree`. The `urlTree` argument was only used to get the `root`.
This change makes it more clear what that pararmeter is used for and
what's actually being used
* Move the `oldRoot` (previously `urlTree`) to be the first argument of `tree`.
This change now mirrors the argument order for `replaceSegment` and
can be read from left to right more easily ""in this root,
replace this old segment group with this new segment group"".
* Extract `newRoot` to a variable. This just makes it more clear what's
going on at the end rather than combining a bunch of operations into
one.
These changes are being made so that hopefully a future refactor can be
done which does not rely on the `urlTree` argument at all in the
`createUrlTree` function. These refactorings will make it easier to see
1:1 functionlity in these various places.
PR Close #45306",No
"docs: update <div> to <p> in lifecycle-hooks.md (#45063)
Changes <div> to <p> in description to match the elements in the screenshot.
Update lifecycle-hooks.md
Changes <div> to <p> in description to match the elements in the screenshot.
PR Close #45063",Yes
"docs(core): update triggerEventHandler samples (#45279)
PR Close #45279",No
"feat(core): triggerEventHandler accept optional eventObj (#45279)
Close #44724
`DebugNode.triggerEventHandler()` should accept the `eventObj` as an
optional parameter. So the user don't have to write code like
```
elem.triggerEventHandler('click', null);
```
PR Close #45279",Yes
"docs: update CHANGELOG to fix broken markdown (#45305)
PR Close #45305",No
"release: cut the v14.0.0-next.6 release (#45301)
",No
"docs: release notes for the v13.2.6 release (#45300)
",No
"fix(language-service): Prioritize Angular-specific completions over DOM completions (#45293)
When authoring Angular templates, developers are likely to be most interested in
the current Directive/Component inputs and outputs, then potential
attributes which would match other directives to the element,
and lastly the plethora of DOM events and attributes.
This change ensures that Angular-specific information appears above DOM
information by prepending the first printable ASCII characters to the
sort text.
Fixes https://github.com/angular/vscode-ng-language-service/issues/1537
PR Close #45293",Yes
"ci: update payload size goldens to reflect zone.js update (#45289)
ZoneJS has been updated as part of the lock file refresh by Renovate. The
polyfills bundle reduced in size by around 4k which is due to some code
simplication in ZoneJS being finally released. This is the commit responsible
for the major reduction (also mentioning the reduction):
https://github.com/angular/angular/commit/0f298a13dbd141e5440d1388b124d03384641efe
PR Close #45289",No
"build: lock file maintenance (#45289)
Refreshes the lock file through Renovate.
PR Close #45289",No
"refactor(migrations): update `isReferenceToImport` to not use `valueDeclaration` (#45292)
valueDeclaration is only set when the Symbol type is a `Value`:
* [setValueDeclaration](https://sourcegraph.com/github.com/microsoft/TypeScript@d8b21a8d6cef772fea5cf2a507b651c5d38194bd/-/blob/src/compiler/binder.ts?L321-322)
* [Value union](https://sourcegraph.com/github.com/microsoft/TypeScript@d8b21a8d6cef772fea5cf2a507b651c5d38194bd/-/blob/src/compiler/types.ts?L4849:9#tab=references)
This won't be the case if the symbol is an interface (notice that `Interface` is not in the union for `Value` above).
For this reason, we can't rely on the `valueDeclaration` property of the symbol.
Instead, it's more reliable to just compare the first items in the `declarations` list.
PR Close #45292",Yes
"refactor: replace deprecated `HTMLDocument` with `Document` (#45282)
`HTMLDocument` is deprecated in favor of `Document`. This change replaces the usages of `HTMLDocument`.
See: https://github.com/microsoft/TypeScript/blob/20c93d3b1da44d8ee740b466a5cde7894e8b3260/lib/lib.dom.d.ts#L6370-L6376
PR Close #45282",Yes. The text contains a reason for a change.
"refactor(core): Improve the efficiency of the Typed Forms migration. (#45288)
Consider a file that imports `FormControl` and then never uses it. In that case, we don't need to add the import for `UntypedFormControl`.
By examining constructor calls *first*, we can identify these cases and skip over them.
This will reduce the memory footprint of the migration when run in tsunami, hopefully making OOM errors less likely.
PR Close #45288",Yes
"feat(core): drop support for Node.js 12 (#45286)
Node.js v12 will become EOL on 2022-04-30. As a result, Angular CLI v14 will no longer support Node.js v12.
BREAKING CHANGE:
Support for Node.js v12 has been removed as it will become EOL on 2022-04-30. Please use Node.js v14.15 or later.
PR Close #45286",Yes
"build: update all non-major dependencies (#45250)
PR Close #45250",No
"build: update scorecard action dependencies (#45249)
PR Close #45249",No
"build: update actions/checkout action to v3 (#45248)
PR Close #45248",No
"fix(docs-infra): remove anchor tags from heritage docs (#45287)
Remove anchor tags from heritage docs and let `autoLinkCode` insert them properly.
PR Close #45287",No
"docs(service-worker): improve description of `NoNewVersionDetectedEvent` (#45266)
The `NoNewVersionDetectedEvent` does not imply that the latest version
on the server is the same as the version the client is on (because a
client could be on an older version).
Update the description of the event to better describe what it actually
means (i.e. that the SW didn't find a version it didn't already know
about, but without implying anything about the version the current
client is using).
PR Close #45266",No
