GitCommitMessage	IsUseful	MatchedOnKeyword
handle empty data frames in scenario.add_par()	False	
rewrite 'ixmp config' cli using click	False	
re-enable py3.9 runs of "pytest" ci workflowthe packages llvmlite, numba, numpy, and pandas are now available asbinary wheels for all platforms.	True	
split install of r deps and r package	True	
squash warnings due to importing pandas.util.testing in test_utils	True	
rename conftest.r to setup.r per testthat convention	True	
update release_notes.rst	False	
add #345 to release notes	True	
add function to check if a scenario has a specific item (#111)* add auxiliary functions to check an item exists in the scenario* pass `name` args in`has_*()` functions* add unit tests* add to release notes	True	
alllow alternative header cases when adding timeseries (#18)* accept 'node' as column name when adding timeseries data* renaming header (mirroring `pyam_analysis` package)* only require `[region, variable, unit]` in `add_timeseries()`* add unit test for error message if missing columns in `add_timeseries()`* fix float issue in automatically determining jvm `-xmx`	True	
remove 'java' section in api docs	False	
raise valueerror for invalid units in jdbcbackend	True	
remove unused test_mp_props fixture	False	
make test_resource_limit() less fragile	False	
explicitly set convertstrings argument to jpype.startjvm() (#174)- add a test for the warning reported in #162- rewrite start_jvm with explicit convertstrings=false- set convertstrings=true- update comments, docstrings, release_notes	True	
expand testscenario.test_excel_io	False	
move .to_iamc_layout to .utils	True	
improve test coverage	False	
updated ixmp.jar (#233)* updated ixmp.jar- source diff https://github.com/iiasa/ixmp_source/compare/62a5da51d93ced3df44cb6916fd5ee7395a71100...e5fdea3e4b590d70632d24d7fee1b8677da3841b* add missing dependency	False	
handle sets out of order in io.s_read_excel; reduce complexity	True	
colour pytest output on github actions runners	False	
document version and default version handling (#132)* instantiate same class on scenario.clone()* add documentation about version/default handling* update release notes	False	
also catch calledprocesserror from gams_version() in show_versions()	False	
mark v3.4.0 in release notes	False	
add doc/data-model	False	
revert 5e7afd5	False	
allow kwargs to config.add_platform	True	
combine tmp_env, tmp_cfg fixtures	False	
skip sphinx build in "pytest" ci workflow on py3.6 runners	False	
remove xarray version spec of <0.12	True	
remove unused code from reporting._config_args()	False	
move set_log_level to backend	True	
