GitCommitMessage	IsUseful	MatchedOnKeyword
update build-sphinx.yml	False	
fixed horisons argument	True	
bugfix	False	
update python-build.yaml	False	
remove superfluous on pr	False	
format python code with black	True	
test model pathsigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
update build-sphinx.ymltest commit for build	True	
use taskname for logger name	True	
format python code with black	True	
fix e266, e225	False	
move loading of model outside of pipeline	False	
fixed bug in prediction job loop and warning in capacity model	False	
use db from context for every call	True	
logging now with pj_id	False	
configure black and flake8 (very limited linting and not restrictive)	False	
format python code with black	True	
mock model in unittest	False	
format python code with black	True	
fix _get_importance_names for linear model	True	
ran black	False	
create pull_request_template.md.license	False	
update checkout reference version	False	
update test_train_model.py	False	
redo model_creator	True	
format python code with black	True	
format python code with black	True	
implemented feedbacksigned-off-by: jan maarten van doorn <52956303+janmaartenvandoorn@users.noreply.github.com>	False	
added way to determine hyperparams age instead of model age	True	
fixed all unittests	False	
update default train horizons	False	
split objective, base and xgb specific code	False	
implemented more feedback	False	
fixed unit tests	False	
add /unit	False	
add docstring	False	
change variable names	False	
remove toc	True	
fixed test_general_extract_minute_features	False	
add sphinx_rtd_theme to newline	True	
revert basecase instead of loadsigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
update for the start and end point for each peakupdate for the start and end point for each peak	True	
add and test clear exceptionsigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
update openstf-dbc requirement from ~=2.1.1 to ~=2.1.2updates the requirements on [openstf-dbc](https://github.com/alliander-opensource/openstf-dbc) to permit the latest version.- [release notes](https://github.com/alliander-opensource/openstf-dbc/releases)- [commits](https://github.com/alliander-opensource/openstf-dbc/compare/v2.1.1...v2.1.2)---updated-dependencies:- dependency-name: openstf-dbcdependency-type: direct:production...signed-off-by: dependabot[bot] <support@github.com>	True	
remove faulty checksigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
debugged code for stratification splitsingcode is now debugged using unit tests (stratification spliting)	True	
add code quality analysis as a test	False	
format python code with black	True	
changed relative paths to absolute pathssigned-off-by: alexis mignon <alexis.mignon@proabyes.com>	True	
undo wrong tab	False	
add a unit test for feature importance logic in linear model.	True	
extended unit tests	False	
update codeql analysis statement	False	
try to fix docs by removing new line	True	
unit test operational_feature_applicator only one horizon	True	
use model mock in unittests	False	
fixup: format python code with black	True	
update data.py	False	
add kwargs handling for groupedregressor and related testssigned-off-by: benoit hardier <benoit.hardier@probayes.com>	True	
format python code with black	True	
bump version to 2.0.2	True	
format python code with black	True	
format python code with black	True	
fixed unit tests due to bevrijdingsdag issue	True	
error for optimizing proloaf parameters	True	
add test and exception if model age failsstill need to look into the logging of the figures	True	
change visuals storage location back to previous	True	
fix wrong argument name	False	
fix sonar coverage	True	
added unit tests and fixed bug	False	
format python code with black	True	
revert "revert "bugfix #155 ktps-1572 enum hyperparam optim""	False	
add comments to function	True	
updated readme with working html link	False	
fixed typo in unittest	False	
remove unused imports	False	
rename openstefsigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
format python code with black	True	
format python code with black	True	
remove unused logger	False	
added license info	False	
black formatting applied	True	
add test/unit	False	
remove the '_' at the beginning of  'set_feature_importance' and fix broken tests.	False	
fix bug	False	
format python code with black	True	
add specific checking to achieve coveragesigned-off-by: benoit hardier <benoit.hardier@probayes.com>	True	
fix unit test after feature_names update	False	
rename to test_	True	
format python code with black	True	
minor changes and bump to 1.7.0a3	True	
fixup: format python code with black	True	
feature set n = none	False	
update setup.py	False	
add **kwargs to predict interface	True	
fix definition of pj dataclass and test on train_model_pipeline outputsigned-off-by: benoit hardier <benoit.hardier@probayes.com>	False	
update test_model_creator.py	True	
update setup.py	False	
format python code with black	True	
some formating and naming changes in the pipeline and pj.	True	
basics of the solution for formattingadapted the exception such that the exception message is equal for all pid's which trigger that exception. this will allow for the creation of a list, since the exceptions are tracked in predictionjobloop.py	True	
passed code to black	True	
update teams.py	False	
add modeltype to predictionjobloop	True	
bump openstf-dbc to 2.2.0use cleanedup openstf-dbc	True	
finnished training pipeline	False	
update auto-black-on-pr.yml	True	
remove loading project config	False	
format python code with black	True	
add run tracy unit test	False	
fix interface definition	False	
switch to openstef dbc 3.1.2signed-off-by: david swinkels <david.swinkels@alliander.com>	True	
create modelspecs in tasks\train_model.py	False	
add license testing model	False	
update input_data_multi_horizon_features.csv	False	
moved visualization and metrics to metrics subpackage	True	
format python code with black	True	
bump version for new alpha release	True	
update build-sphinx.yml	False	
format python code with black	True	
js script in the html due to pushed changes not being visible in the reference link	True	
remove obsolete import	True	
add some context to train_model	True	
use capitals for readme file	True	
removed unittest and code smells	False	
implemented comments from previous pr	False	
update setup.py	False	
create build-sphinx.yml	False	
e.g., added logging	False	
ran black, removed unused importssigned-off-by: jan maarten van doorn <52956303+janmaartenvandoorn@users.noreply.github.com>	False	
changed settings ide to blackchanged settings ide to black	True	
update typehints and docstrings	False	
create committers.md	False	
fix unit testsigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
removed print statements	False	
implemented feedback	False	
put comment at better location	False	
add / and github workspace brackets	False	
update test_standard_deviation_generator.py	True	
update readme.md	False	
fix failing testsigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
reproduced error in test	False	
fix workflow conventions	False	
update checkout reference version	False	
update pull_request_template.md	False	
update doc	False	
improved hyperparameter optimization	False	
mock model locationsigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
removed parameter checks that are already implemented in create_model.	False	
update serializer.py	False	
merge if	False	
update index.rst	False	
format python code with black	True	
add unit test for linear model	True	
format python code with black	True	
format with blacksigned-off-by: david swinkels <david.swinkels@alliander.com>	True	
format python code with black	True	
fix failing unit testssigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
fixup: format python code with black	True	
change splitting_energy teams communication from alerts to monitoring	True	
format python code with black	True	
format python code with black	True	
fix code smells	False	
format python code with black	True	
update incorrect variable reference	False	
remove superfluous 'pass'	False	
delete project_governance.mdsigned-off-by: jonas van den bogaard <3628277+jonasvdbo@users.noreply.github.com>signed-off-by: david swinkels <david.swinkels@alliander.com>	False	
fix docs publish, replace echo by printf	False	
fix for unit test	True	
bump version	False	
format python code with black	True	
format python code with black	True	
include main license file also in root directorythis will make sure github automatically recognize the main license and shows this in about and repo overview.	True	
format python code with black	True	
added tests for the dependency mechanismsigned-off-by: alexis mignon <alexis.mignon@proabyes.com>	True	
updated html	False	
fix varname	False	
improved logging with extra keysadded extra key value to the logging and the fraction of the number of values set to nan.	True	
bump version to 2.1.1	True	
change installation of requirements.txt	False	
remove useless call to dispatch_features	True	
format python code with black	True	
fix slashes conventionsigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
added license and copyrighttext	False	
import typing	False	
fix taskcontext unit test	False	
move check times_in_future from basecase to task	True	
clean up all unit tests by setting working dir to base of openstf package, getting data/trained_models in similar way, remove old data, running black and isort	True	
format python code with black	True	
implementation for proloaf optuna hyperparameter optimalisation	True	
format python code with black	True	
format python code with black	True	
format python code with black	True	
store trained model	True	
update setup.py	False	
add stored model for testssigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	True	
format python code with black	True	
moved unittest	False	
add comment to unittest	True	
update mlflow versionsigned-off-by: david swinkels <david.swinkels@alliander.com>signed-off-by: signed-off-by: david swinkels david.swinkels@alliander.com <david.swinkels@alliander.com>	False	
bump version for dependabot test	True	
deleted unnecessay variablesdeleted unnecessay variables	False	
update type hints	False	
update build-sphinx.yml	False	
black formatting	True	
use short tracy job names	False	
fixed minor issues	False	
fix bug, but unit test breakssigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
add unit tests and reproduce bug	False	
add final slash	False	
update setup.py	False	
remove capacity prognosessigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
added more documentation	False	
update setup.py	False	
incorporate suggestions of jm	False	
add e501	False	
try to add unittest but couldnt make patching work	True	
format python code with black	True	
fix for review commentsfix for review comments	True	
format python code with black	True	
minor update, add some new lines	True	
add copyright	False	
format python code with black	True	
change variable name of forecast_horizon in proloafproloaf expects horizon in hours thus divide minutes by 60 to get hours	True	
use default train horizons during hyperparam optimalizationsigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
fix order of requirements	False	
format python code with black	True	
explicitly test mocked model pathsigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
update release-drafter.yaml	False	
add sphinx_rtd_theme on newline	False	
fixed minor issues	False	
implemented cosmetic changes	False	
revert, test task context, code is actually reached	False	
add pipeline test	False	
first try refactoring	True	
add breaking unit testsigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	False	
change mean of skill_score to mean of load instead of mean of basecasesigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	True	
fix missing new lines	False	
removed database calls from predict_model_sklearn in pipeline	False	
fixed merge conflicts	False	
update index.rst	False	
minor change	False	
format python code with black	True	
moved model.general functionality to a more logical location	True	
add license sidecar for tracy job test data	True	
make exception more specific	False	
solve too high complexity	True	
add type hinting	False	
also log 0 if no values are incorrect during validation	True	
improved readability and more dynamic	False	
fix tests determine_invalid_coefs()	False	
update tasks	False	
resolve suggestion by jan maarten	True	
add sphinx_rtd_theme	False	
update test/unit/tasks/test_calculate_kpi.pysigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>co-authored-by: jan maarten van doorn <52956303+janmaartenvandoorn@users.noreply.github.com>	False	
update hyperparams task	False	
change version to reflect it is a prerelease	True	
update feature_request.md	False	
applied changes related to the comments on the pr (logging, changing names, removing not necessary code)	True	
updated docstrings	False	
improve dostring	False	
update test_train_predict_backtest.py	False	
update test_general_extract_minute_features.py	False	
unittest adaptation after merge	False	
changed testsigned-off-by: jan maarten van doorn <52956303+janmaartenvandoorn@users.noreply.github.com>	False	
changed iterable to sequence type hint since we use subscriptssigned-off-by: alexis mignon <alexis.mignon@proabyes.com>	True	
fix datetime format and remove model type selection	True	
add sanity check	False	
add suggestion for improvementsigned-off-by: frank kreuwel <frank.kreuwel@alliander.com>	True	
simplify run_tracy	False	
format python code with black	True	
optimize imports	False	
create 1.7.0 alpha release	False	
update build-sphinx.yml	False	
update openstef-dbc requirement from ~=3.0.0 to ~=3.0.1updates the requirements on [openstef-dbc](https://github.com/openstef/openstef-dbc) to permit the latest version.- [release notes](https://github.com/openstef/openstef-dbc/releases)- [commits](https://github.com/openstef/openstef-dbc/commits)---updated-dependencies:- dependency-name: openstef-dbcdependency-type: direct:production...signed-off-by: dependabot[bot] <support@github.com>	True	
update test_model_creator.py	True	
rollback requirements.txt update	False	
update unit tests	False	
fixed minor issues	False	
changed code using the commentschanged code using the comments	False	
update all testcases to use the new predictionjob	True	
move fallback strategy constant to top	True	
only use python 3.9 for ci/cd (for now)	True	
